,en_Manchester Arena bombing,ar_Manchester Arena bombing,en_Israel–Hamas war,ar_Israel–Hamas war,he_Israel–Hamas war,en_Charlie Hebdo shooting,ar_Charlie Hebdo shooting,fr_Charlie Hebdo shooting,date
1991,26.0,8.0,,,,1871,43,488,2023-03-24
1992,25.0,11.0,,,,2619,30,496,2023-03-25
1993,33.0,10.0,,,,3369,49,562,2023-03-26
1994,40.0,14.0,,,,6595,36,640,2023-03-27
1995,50.0,5.0,,,,2912,55,612,2023-03-28
1996,38.0,8.0,,,,2518,27,756,2023-03-29
1997,36.0,17.0,,,,2522,23,720,2023-03-30
1998,41.0,14.0,,,,2306,59,1027,2023-03-31
1999,30.0,10.0,,,,2184,39,714,2023-04-01
2000,11.0,8.0,,,,1951,21,674,2023-04-02
2001,41.0,7.0,,,,1901,42,622,2023-04-03
2002,26.0,9.0,,,,1742,30,633,2023-04-04
2003,33.0,19.0,,,,1865,30,772,2023-04-05
2004,36.0,9.0,,,,1685,23,549,2023-04-06
2005,27.0,8.0,,,,1953,24,893,2023-04-07
2006,23.0,7.0,,,,2427,33,682,2023-04-08
2007,34.0,14.0,,,,3413,28,621,2023-04-09
2008,31.0,11.0,,,,2001,27,771,2023-04-10
2009,26.0,5.0,,,,1599,37,617,2023-04-11
2010,56.0,12.0,,,,2319,40,621,2023-04-12
2011,67.0,10.0,,,,1688,19,732,2023-04-13
2012,66.0,16.0,,,,1291,28,570,2023-04-14
2013,38.0,5.0,,,,1052,20,481,2023-04-15
2014,35.0,17.0,,,,1293,21,600,2023-04-16
2015,63.0,14.0,,,,1453,23,515,2023-04-17
2016,33.0,15.0,,,,1415,23,489,2023-04-18
2017,48.0,8.0,,,,1555,24,548,2023-04-19
2018,32.0,19.0,,,,1723,28,571,2023-04-20
2019,29.0,6.0,,,,1355,19,714,2023-04-21
2020,51.0,11.0,,,,1216,32,686,2023-04-22
2021,40.0,6.0,,,,1503,22,646,2023-04-23
2022,54.0,17.0,,,,1623,22,696,2023-04-24
2023,62.0,8.0,,,,1311,61,754,2023-04-25
2024,59.0,12.0,,,,1628,31,661,2023-04-26
2025,40.0,11.0,,,,1149,39,627,2023-04-27
2026,64.0,5.0,,,,1197,57,630,2023-04-28
2027,55.0,11.0,,,,1060,21,609,2023-04-29
2028,76.0,8.0,,,,1378,14,807,2023-04-30
2029,62.0,5.0,,,,1644,27,728,2023-05-01
2030,47.0,4.0,,,,1423,21,656,2023-05-02
2031,51.0,4.0,,,,1601,27,598,2023-05-03
2032,42.0,12.0,,,,1298,27,530,2023-05-04
2033,50.0,9.0,,,,1365,20,624,2023-05-05
2034,37.0,16.0,,,,1241,30,554,2023-05-06
2035,53.0,13.0,,,,1283,30,661,2023-05-07
2036,44.0,15.0,,,,1381,31,764,2023-05-08
2037,47.0,15.0,,,,1293,35,680,2023-05-09
2038,55.0,5.0,,,,1820,38,709,2023-05-10
2039,52.0,6.0,,,,1375,29,811,2023-05-11
2040,59.0,23.0,,,,1298,22,671,2023-05-12
2041,71.0,9.0,,,,1351,31,767,2023-05-13
2042,51.0,6.0,,,,1447,42,779,2023-05-14
2043,57.0,11.0,,,,1723,37,624,2023-05-15
2044,47.0,6.0,,,,1391,42,774,2023-05-16
2045,73.0,10.0,,,,1604,217,553,2023-05-17
2046,50.0,9.0,,,,1358,70,546,2023-05-18
2047,78.0,9.0,,,,1843,34,592,2023-05-19
2048,51.0,9.0,,,,1503,44,618,2023-05-20
2049,58.0,17.0,,,,1577,53,586,2023-05-21
2050,517.0,98.0,,,,2530,36,507,2023-05-22
2051,387.0,27.0,,,,3026,28,624,2023-05-23
2052,113.0,22.0,,,,2612,27,558,2023-05-24
2053,78.0,13.0,,,,2350,44,588,2023-05-25
2054,61.0,9.0,,,,1651,19,557,2023-05-26
2055,58.0,17.0,,,,1871,19,418,2023-05-27
2056,55.0,7.0,,,,1832,28,477,2023-05-28
2057,59.0,11.0,,,,2158,19,474,2023-05-29
2058,50.0,11.0,,,,2058,31,501,2023-05-30
2059,76.0,9.0,,,,1976,28,542,2023-05-31
2060,81.0,5.0,,,,1900,40,489,2023-06-01
2061,84.0,11.0,,,,1396,25,455,2023-06-02
2062,107.0,13.0,,,,1350,20,434,2023-06-03
2063,138.0,7.0,,,,1406,22,498,2023-06-04
2064,111.0,8.0,,,,1481,21,447,2023-06-05
2065,56.0,17.0,,,,1418,27,456,2023-06-06
2066,42.0,13.0,,,,1263,25,467,2023-06-07
2067,56.0,9.0,,,,1621,30,591,2023-06-08
2068,50.0,8.0,,,,1528,33,628,2023-06-09
2069,39.0,13.0,,,,1462,21,580,2023-06-10
2070,49.0,11.0,,,,1605,26,499,2023-06-11
2071,46.0,13.0,,,,1727,30,505,2023-06-12
2072,71.0,7.0,,,,1705,30,504,2023-06-13
2073,67.0,8.0,,,,1451,26,421,2023-06-14
2074,66.0,8.0,,,,1653,27,512,2023-06-15
2075,60.0,15.0,,,,1423,50,512,2023-06-16
2076,35.0,8.0,,,,1412,48,557,2023-06-17
2077,67.0,13.0,,,,1318,36,594,2023-06-18
2078,68.0,13.0,,,,1455,26,591,2023-06-19
2079,56.0,3.0,,,,1489,30,617,2023-06-20
2080,65.0,10.0,,,,1900,45,562,2023-06-21
2081,73.0,4.0,,,,1652,18,496,2023-06-22
2082,56.0,10.0,,,,1528,21,460,2023-06-23
2083,55.0,10.0,,,,1466,30,417,2023-06-24
2084,58.0,25.0,,,,1694,26,524,2023-06-25
2085,72.0,14.0,,,,1608,16,421,2023-06-26
2086,58.0,12.0,,,,1655,25,477,2023-06-27
2087,54.0,9.0,,,,2034,60,468,2023-06-28
2088,54.0,6.0,,,,1885,92,502,2023-06-29
2089,48.0,6.0,,,,2609,90,512,2023-06-30
2090,64.0,8.0,,,,2805,77,482,2023-07-01
2091,71.0,7.0,,,,2764,86,497,2023-07-02
2092,33.0,12.0,,,,2491,98,402,2023-07-03
2093,34.0,5.0,,,,2018,66,421,2023-07-04
2094,39.0,20.0,,,,1868,48,409,2023-07-05
2095,53.0,8.0,,,,1837,38,348,2023-07-06
2096,62.0,3.0,,,,1767,38,398,2023-07-07
2097,45.0,7.0,,,,1871,45,426,2023-07-08
2098,49.0,12.0,,,,2044,41,385,2023-07-09
2099,46.0,11.0,,,,2035,29,425,2023-07-10
2100,44.0,5.0,,,,1970,36,388,2023-07-11
2101,49.0,9.0,,,,2056,18,422,2023-07-12
2102,62.0,8.0,,,,2391,33,541,2023-07-13
2103,53.0,3.0,,,,1642,33,640,2023-07-14
2104,57.0,5.0,,,,1313,30,482,2023-07-15
2105,60.0,3.0,,,,1352,26,475,2023-07-16
2106,81.0,12.0,,,,1388,48,443,2023-07-17
2107,51.0,8.0,,,,1704,12,403,2023-07-18
2108,54.0,18.0,,,,2014,30,416,2023-07-19
2109,49.0,12.0,,,,1482,51,374,2023-07-20
2110,41.0,13.0,,,,1345,56,394,2023-07-21
2111,57.0,18.0,,,,1306,28,339,2023-07-22
2112,48.0,12.0,,,,1252,37,328,2023-07-23
2113,63.0,11.0,,,,1389,18,509,2023-07-24
2114,47.0,19.0,,,,1565,40,465,2023-07-25
2115,41.0,9.0,,,,1674,38,459,2023-07-26
2116,45.0,10.0,,,,1839,34,419,2023-07-27
2117,53.0,18.0,,,,1768,22,371,2023-07-28
2118,44.0,13.0,,,,1660,17,326,2023-07-29
2119,47.0,8.0,,,,1610,16,386,2023-07-30
2120,56.0,9.0,,,,1387,24,368,2023-07-31
2121,51.0,11.0,,,,1419,21,351,2023-08-01
2122,37.0,12.0,,,,1412,31,425,2023-08-02
2123,38.0,13.0,,,,1654,25,377,2023-08-03
2124,51.0,7.0,,,,1546,42,385,2023-08-04
2125,53.0,6.0,,,,1306,22,401,2023-08-05
2126,32.0,19.0,,,,1403,25,415,2023-08-06
2127,55.0,6.0,,,,1497,19,384,2023-08-07
2128,46.0,15.0,,,,1384,24,425,2023-08-08
2129,45.0,10.0,,,,1257,21,489,2023-08-09
2130,40.0,5.0,,,,1306,28,400,2023-08-10
2131,30.0,13.0,,,,1202,20,399,2023-08-11
2132,45.0,9.0,,,,1229,31,373,2023-08-12
2133,45.0,5.0,,,,1458,21,469,2023-08-13
2134,58.0,11.0,,,,1271,11,430,2023-08-14
2135,33.0,4.0,,,,1455,37,466,2023-08-15
2136,32.0,9.0,,,,1500,31,395,2023-08-16
2137,32.0,8.0,,,,1813,24,383,2023-08-17
2138,41.0,7.0,,,,2169,18,358,2023-08-18
2139,47.0,5.0,,,,1637,43,344,2023-08-19
2140,21.0,22.0,,,,1656,32,418,2023-08-20
2141,38.0,8.0,,,,1701,29,444,2023-08-21
2142,45.0,16.0,,,,1398,27,573,2023-08-22
2143,45.0,10.0,,,,1802,22,437,2023-08-23
2144,35.0,10.0,,,,1703,31,371,2023-08-24
2145,47.0,14.0,,,,1286,22,320,2023-08-25
2146,41.0,5.0,,,,1229,24,370,2023-08-26
2147,24.0,29.0,,,,2362,25,396,2023-08-27
2148,32.0,19.0,,,,2349,26,404,2023-08-28
2149,68.0,5.0,,,,1482,9,354,2023-08-29
2150,30.0,13.0,,,,1276,58,363,2023-08-30
2151,41.0,5.0,,,,1302,41,423,2023-08-31
2152,48.0,7.0,,,,1629,38,382,2023-09-01
2153,34.0,14.0,,,,1954,30,410,2023-09-02
2154,43.0,6.0,,,,1799,32,450,2023-09-03
2155,37.0,14.0,,,,1967,35,463,2023-09-04
2156,33.0,19.0,,,,1994,27,601,2023-09-05
2157,42.0,21.0,,,,1718,38,512,2023-09-06
2158,41.0,12.0,,,,1499,34,460,2023-09-07
2159,54.0,11.0,,,,1443,32,527,2023-09-08
2160,35.0,10.0,,,,1281,35,501,2023-09-09
2161,45.0,11.0,,,,1212,37,556,2023-09-10
2162,47.0,4.0,,,,1695,34,1090,2023-09-11
2163,53.0,7.0,,,,1597,32,865,2023-09-12
2164,61.0,12.0,,,,1534,49,749,2023-09-13
2165,55.0,8.0,,,,1444,53,668,2023-09-14
2166,47.0,5.0,,,,1466,303,782,2023-09-15
2167,35.0,6.0,,,,1407,129,903,2023-09-16
2168,56.0,11.0,,,,1518,82,866,2023-09-17
2169,34.0,10.0,,,,1305,32,722,2023-09-18
2170,48.0,15.0,,,,1379,31,768,2023-09-19
2171,32.0,6.0,,,,1435,53,781,2023-09-20
2172,39.0,3.0,,,,1476,43,544,2023-09-21
2173,39.0,5.0,,,,1598,67,492,2023-09-22
2174,41.0,5.0,,,,1257,39,450,2023-09-23
2175,59.0,9.0,,,,1166,39,486,2023-09-24
2176,37.0,5.0,,,,1169,38,578,2023-09-25
2177,43.0,10.0,,,,1219,35,565,2023-09-26
2178,38.0,5.0,,,,1265,40,509,2023-09-27
2179,45.0,14.0,,,,1272,31,469,2023-09-28
2180,43.0,7.0,,,,1231,50,874,2023-09-29
2181,50.0,11.0,,,,1129,29,779,2023-09-30
2182,44.0,8.0,,,,1471,33,670,2023-10-01
2183,46.0,3.0,,,,1427,18,578,2023-10-02
2184,55.0,4.0,,,,1382,29,586,2023-10-03
2185,37.0,11.0,,,,1455,34,588,2023-10-04
2186,40.0,6.0,,,,1260,47,589,2023-10-05
2187,32.0,15.0,,,,1187,27,526,2023-10-06
2188,48.0,9.0,,,,1316,32,578,2023-10-07
2189,40.0,9.0,,,16544.0,1420,15,629,2023-10-08
2190,64.0,6.0,,,48519.0,1544,22,693,2023-10-09
2191,53.0,8.0,25.0,,51301.0,1865,37,823,2023-10-10
2192,47.0,8.0,13.0,,43330.0,2011,48,1444,2023-10-11
2193,43.0,9.0,10.0,6.0,41280.0,2435,46,997,2023-10-12
2194,36.0,7.0,20.0,441.0,34083.0,3587,47,1601,2023-10-13
2195,30.0,14.0,9.0,827.0,34255.0,2661,32,1592,2023-10-14
2196,47.0,6.0,19.0,826.0,33150.0,2321,42,1459,2023-10-15
2197,56.0,6.0,20.0,633.0,28286.0,2882,50,2242,2023-10-16
2198,38.0,7.0,9.0,929.0,28901.0,3741,109,2358,2023-10-17
2199,52.0,13.0,78.0,1271.0,25991.0,2367,354,1331,2023-10-18
2200,54.0,10.0,176.0,2467.0,23695.0,2078,131,1133,2023-10-19
2201,41.0,13.0,128.0,3413.0,20330.0,1629,101,1003,2023-10-20
2202,40.0,24.0,66.0,3620.0,22358.0,1617,73,839,2023-10-21
2203,47.0,11.0,11.0,2767.0,22996.0,1590,54,882,2023-10-22
2204,37.0,8.0,20.0,2138.0,21393.0,1626,220,749,2023-10-23
2205,55.0,6.0,16.0,1991.0,21495.0,1608,146,725,2023-10-24
2206,55.0,8.0,38.0,1903.0,23282.0,1503,123,638,2023-10-25
2207,40.0,12.0,24.0,1957.0,22123.0,1587,176,652,2023-10-26
2208,37.0,14.0,48.0,2074.0,21006.0,1595,170,609,2023-10-27
2209,39.0,10.0,41.0,2342.0,23790.0,1544,109,560,2023-10-28
2210,29.0,4.0,43.0,1824.0,23923.0,1641,94,588,2023-10-29
2211,45.0,6.0,36.0,1772.0,24320.0,1472,66,770,2023-10-30
2212,45.0,12.0,56.0,2108.0,32043.0,1974,129,602,2023-10-31
2213,29.0,8.0,41.0,1989.0,33031.0,1940,79,719,2023-11-01
2214,51.0,17.0,244.0,1826.0,28532.0,2352,61,638,2023-11-02
2215,28.0,3.0,226.0,2432.0,25092.0,2207,95,563,2023-11-03
2216,46.0,14.0,204.0,3482.0,25916.0,2469,115,642,2023-11-04
2217,56.0,14.0,127.0,3950.0,25574.0,3154,91,635,2023-11-05
2218,45.0,4.0,144.0,3652.0,23269.0,4754,74,702,2023-11-06
2219,49.0,4.0,100.0,3428.0,21931.0,3238,63,676,2023-11-07
2220,44.0,6.0,48.0,3388.0,20083.0,2390,67,719,2023-11-08
2221,81.0,5.0,52.0,2201.0,19493.0,2787,190,748,2023-11-09
2222,39.0,10.0,22.0,2310.0,18108.0,3228,262,737,2023-11-10
2223,48.0,7.0,26.0,2635.0,21197.0,3132,588,837,2023-11-11
2224,37.0,3.0,20.0,2161.0,19002.0,2404,289,1570,2023-11-12
2225,43.0,10.0,23.0,2238.0,19587.0,2596,269,1920,2023-11-13
2226,53.0,13.0,20.0,2227.0,18999.0,2284,197,1113,2023-11-14
2227,46.0,5.0,27.0,1846.0,16974.0,2682,1486,875,2023-11-15
2228,32.0,17.0,20.0,1728.0,16564.0,2907,519,687,2023-11-16
2229,38.0,6.0,23.0,1705.0,15544.0,1970,190,653,2023-11-17
2230,51.0,16.0,39.0,1739.0,18082.0,1802,201,634,2023-11-18
2231,66.0,9.0,19.0,1749.0,18550.0,1727,148,779,2023-11-19
2232,61.0,9.0,21.0,1757.0,16269.0,2023,117,748,2023-11-20
2233,47.0,14.0,16.0,1550.0,14793.0,1733,81,741,2023-11-21
2234,40.0,9.0,17.0,1941.0,14949.0,2105,84,701,2023-11-22
2235,51.0,10.0,34.0,1936.0,12691.0,2157,62,606,2023-11-23
2236,49.0,13.0,206.0,2136.0,14418.0,1849,70,657,2023-11-24
2237,23.0,20.0,303.0,2150.0,13727.0,1672,71,604,2023-11-25
2238,44.0,12.0,175.0,2401.0,12832.0,1980,82,651,2023-11-26
2239,36.0,7.0,179.0,2090.0,10720.0,3720,53,703,2023-11-27
2240,37.0,11.0,127.0,2137.0,10024.0,2941,52,594,2023-11-28
2241,25.0,5.0,119.0,2133.0,9403.0,2145,44,673,2023-11-29
2242,40.0,8.0,111.0,1771.0,9209.0,2136,59,610,2023-11-30
2243,31.0,3.0,40.0,1882.0,12705.0,1817,54,583,2023-12-01
2244,29.0,5.0,28.0,1731.0,12751.0,1876,65,541,2023-12-02
2245,41.0,6.0,21.0,2208.0,12108.0,3183,85,1979,2023-12-03
2246,39.0,5.0,20.0,2528.0,12550.0,2233,79,844,2023-12-04
2247,43.0,7.0,36.0,1939.0,14805.0,1958,79,694,2023-12-05
2248,37.0,6.0,21.0,2375.0,12952.0,1760,77,738,2023-12-06
2249,41.0,6.0,19.0,2175.0,14834.0,1618,69,750,2023-12-07
2250,43.0,16.0,39.0,2020.0,14695.0,3111,54,616,2023-12-08
2251,46.0,11.0,33.0,1867.0,15309.0,3860,83,617,2023-12-09
2252,46.0,12.0,17.0,2316.0,13512.0,1955,72,715,2023-12-10
2253,50.0,5.0,23.0,1881.0,13728.0,2611,60,669,2023-12-11
2254,35.0,17.0,27.0,2078.0,13497.0,2290,63,662,2023-12-12
2255,43.0,10.0,25.0,2482.0,15845.0,2037,43,623,2023-12-13
2256,37.0,7.0,21.0,2014.0,11843.0,4188,60,689,2023-12-14
2257,39.0,7.0,22.0,1703.0,12160.0,2533,307,734,2023-12-15
2258,40.0,10.0,22.0,1903.0,11766.0,2021,725,784,2023-12-16
2259,40.0,11.0,18.0,2052.0,12232.0,1996,317,624,2023-12-17
2260,50.0,4.0,21.0,1770.0,13807.0,1852,178,696,2023-12-18
2261,43.0,6.0,14.0,1962.0,12752.0,1553,189,626,2023-12-19
2262,60.0,11.0,22.0,1575.0,11731.0,1663,151,615,2023-12-20
2263,45.0,6.0,17.0,1857.0,12188.0,1684,64,616,2023-12-21
2264,41.0,11.0,22.0,2496.0,11796.0,1807,83,742,2023-12-22
2265,36.0,8.0,36.0,8561.0,13083.0,1628,69,513,2023-12-23
2266,40.0,12.0,37.0,6242.0,14830.0,1464,54,438,2023-12-24
2267,39.0,8.0,35.0,5472.0,11905.0,1521,77,525,2023-12-25
2268,39.0,8.0,54.0,5386.0,12597.0,1732,54,427,2023-12-26
2269,46.0,10.0,39.0,4873.0,11277.0,1854,46,521,2023-12-27
2270,45.0,7.0,20.0,4836.0,11068.0,1673,52,546,2023-12-28
2271,39.0,10.0,37.0,4772.0,9606.0,1667,54,745,2023-12-29
2272,32.0,14.0,30.0,5353.0,10165.0,2264,54,586,2023-12-30
2273,44.0,12.0,37.0,4629.0,10971.0,2188,60,660,2023-12-31
2274,36.0,14.0,53.0,4889.0,9935.0,2232,69,605,2024-01-01
2275,38.0,9.0,38.0,8503.0,10787.0,2219,48,725,2024-01-02
2276,41.0,9.0,36.0,9899.0,9352.0,2062,61,666,2024-01-03
2277,38.0,8.0,30.0,5081.0,9048.0,2656,58,800,2024-01-04
2278,45.0,6.0,32.0,5058.0,8459.0,3053,51,980,2024-01-05
2279,44.0,17.0,22.0,3811.0,9967.0,2410,68,1193,2024-01-06
2280,49.0,8.0,26.0,4639.0,9715.0,6287,286,10147,2024-01-07
2281,48.0,8.0,44.0,4939.0,10795.0,4512,167,2820,2024-01-08
2282,56.0,9.0,89.0,4467.0,11578.0,2999,105,1798,2024-01-09
2283,55.0,7.0,53.0,5471.0,10134.0,3211,78,1496,2024-01-10
2284,48.0,12.0,27.0,5412.0,9284.0,2394,72,1364,2024-01-11
2285,65.0,8.0,34.0,5672.0,8655.0,2075,76,1040,2024-01-12
2286,92.0,12.0,500.0,5437.0,9632.0,1897,59,915,2024-01-13
2287,63.0,13.0,467.0,5301.0,10534.0,1787,77,879,2024-01-14
2288,111.0,5.0,317.0,4639.0,8662.0,1977,52,916,2024-01-15
2289,74.0,7.0,298.0,6023.0,8360.0,1937,52,801,2024-01-16
2290,70.0,11.0,267.0,5368.0,8111.0,1986,44,854,2024-01-17
2291,64.0,6.0,229.0,4668.0,7513.0,1786,40,794,2024-01-18
2292,73.0,17.0,132.0,4342.0,6921.0,1620,64,772,2024-01-19
2293,52.0,23.0,28343.0,5147.0,7644.0,1859,68,669,2024-01-20
2294,55.0,7.0,31665.0,4925.0,8006.0,2068,39,857,2024-01-21
2295,59.0,11.0,34994.0,4339.0,9200.0,2290,40,846,2024-01-22
2296,70.0,5.0,40897.0,4552.0,14354.0,2215,36,776,2024-01-23
2297,69.0,13.0,38841.0,3921.0,8398.0,2088,63,764,2024-01-24
2298,66.0,5.0,41201.0,3936.0,7836.0,2063,24,734,2024-01-25
2299,44.0,13.0,41700.0,5319.0,7405.0,1661,63,670,2024-01-26
2300,43.0,7.0,38437.0,4287.0,8225.0,2193,147,635,2024-01-27
2301,62.0,10.0,42459.0,6019.0,7982.0,2166,72,717,2024-01-28
2302,63.0,12.0,41999.0,4313.0,7876.0,2350,64,731,2024-01-29
2303,46.0,12.0,40215.0,4273.0,7183.0,1804,50,672,2024-01-30
2304,39.0,4.0,38380.0,3956.0,7152.0,1523,52,751,2024-01-31
2305,52.0,6.0,38233.0,3677.0,6058.0,1542,40,601,2024-02-01
2306,56.0,6.0,35477.0,4230.0,5571.0,1400,32,635,2024-02-02
2307,39.0,13.0,32250.0,3597.0,6332.0,1276,45,561,2024-02-03
2308,58.0,13.0,35353.0,3601.0,6321.0,1538,46,621,2024-02-04
2309,53.0,11.0,37315.0,3294.0,6251.0,1654,45,586,2024-02-05
2310,47.0,10.0,34031.0,3502.0,6133.0,1722,53,653,2024-02-06
2311,49.0,10.0,35694.0,4001.0,6063.0,1499,41,821,2024-02-07
2312,57.0,13.0,34202.0,4368.0,6124.0,1521,23,608,2024-02-08
2313,58.0,3.0,33548.0,3250.0,6141.0,1425,51,530,2024-02-09
2314,53.0,9.0,35274.0,3453.0,6048.0,1268,53,466,2024-02-10
2315,58.0,3.0,36320.0,3487.0,6491.0,1348,36,654,2024-02-11
2316,46.0,8.0,46972.0,3949.0,8412.0,1272,45,577,2024-02-12
2317,51.0,7.0,41058.0,4072.0,6784.0,1553,61,555,2024-02-13
2318,48.0,9.0,36841.0,3737.0,6461.0,1906,57,610,2024-02-14
2319,55.0,1.0,37035.0,3622.0,6742.0,1249,43,597,2024-02-15
2320,53.0,11.0,33660.0,4401.0,6387.0,1113,57,534,2024-02-16
2321,46.0,3.0,30517.0,3701.0,6480.0,1172,50,515,2024-02-17
2322,45.0,9.0,34220.0,3999.0,6459.0,1267,45,561,2024-02-18
2323,43.0,7.0,36431.0,3617.0,5873.0,1171,44,670,2024-02-19
2324,71.0,6.0,49156.0,4056.0,5715.0,1444,40,673,2024-02-20
2325,85.0,3.0,49052.0,3739.0,5593.0,1558,36,543,2024-02-21
2326,90.0,7.0,52089.0,3885.0,5180.0,1355,47,571,2024-02-22
2327,83.0,9.0,49956.0,3598.0,5162.0,1323,32,507,2024-02-23
2328,79.0,6.0,48780.0,4746.0,5479.0,1077,72,472,2024-02-24
2329,46.0,5.0,51098.0,4704.0,5749.0,1288,63,607,2024-02-25
2330,75.0,16.0,52900.0,3714.0,5616.0,1504,52,530,2024-02-26
2331,74.0,6.0,42992.0,3944.0,4845.0,1279,50,468,2024-02-27
2332,72.0,8.0,50722.0,3574.0,4656.0,1253,45,575,2024-02-28
2333,79.0,6.0,60810.0,3227.0,5185.0,1344,63,531,2024-02-29
2334,69.0,11.0,62097.0,9171.0,4857.0,1236,47,529,2024-03-01
2335,52.0,17.0,52439.0,3621.0,5970.0,1178,35,496,2024-03-02
2336,72.0,9.0,52795.0,3789.0,5818.0,1112,33,591,2024-03-03
2337,54.0,21.0,56520.0,4130.0,5144.0,1376,33,565,2024-03-04
2338,61.0,13.0,55330.0,3244.0,4794.0,1272,50,579,2024-03-05
2339,49.0,8.0,54974.0,4470.0,4725.0,1709,31,558,2024-03-06
2340,79.0,12.0,54470.0,3386.0,5186.0,2049,27,653,2024-03-07
2341,52.0,11.0,48575.0,3422.0,4490.0,1378,32,516,2024-03-08
2342,59.0,5.0,41708.0,4262.0,4658.0,1274,25,531,2024-03-09
2343,94.0,10.0,49634.0,2871.0,4962.0,1139,37,561,2024-03-10
2344,78.0,7.0,53760.0,2762.0,5176.0,1849,60,757,2024-03-11
2345,64.0,12.0,46808.0,2882.0,5216.0,2021,84,794,2024-03-12
2346,80.0,9.0,45302.0,2945.0,4279.0,1828,61,1019,2024-03-13
2347,109.0,9.0,45052.0,2898.0,4362.0,1760,53,846,2024-03-14
2348,64.0,6.0,39587.0,3414.0,4524.0,1921,65,658,2024-03-15
2349,64.0,4.0,45172.0,3425.0,4379.0,1715,52,516,2024-03-16
2350,67.0,9.0,45521.0,3483.0,5070.0,1470,47,561,2024-03-17
2351,73.0,16.0,49954.0,8404.0,5485.0,1501,59,638,2024-03-18
2352,77.0,11.0,47851.0,3748.0,4970.0,1571,41,531,2024-03-19
2353,59.0,14.0,45642.0,5990.0,4265.0,1544,41,598,2024-03-20
2354,66.0,11.0,47334.0,3207.0,4673.0,1532,64,918,2024-03-21
2355,96.0,19.0,45054.0,2975.0,3943.0,1836,66,863,2024-03-22
2356,128.0,15.0,38686.0,3308.0,4116.0,2656,81,1492,2024-03-23
2357,94.0,8.0,40980.0,3220.0,4220.0,2069,57,1024,2024-03-24
2358,92.0,11.0,46867.0,3303.0,4375.0,2549,68,1357,2024-03-25
2359,101.0,13.0,43582.0,3386.0,4420.0,3691,34,970,2024-03-26
2360,55.0,9.0,32846.0,3110.0,4593.0,3829,42,802,2024-03-27
2361,39.0,13.0,32686.0,3192.0,3963.0,1680,47,696,2024-03-28
2362,59.0,10.0,36571.0,3444.0,4682.0,1749,45,662,2024-03-29
2363,59.0,4.0,41894.0,2893.0,4429.0,1376,40,696,2024-03-30
2364,38.0,14.0,38357.0,3042.0,4407.0,1395,43,721,2024-03-31
2365,51.0,6.0,43701.0,3228.0,5690.0,1336,31,617,2024-04-01
2366,41.0,3.0,50508.0,3220.0,4362.0,1345,54,629,2024-04-02
2367,45.0,12.0,46745.0,3372.0,4196.0,1449,43,726,2024-04-03
2368,45.0,7.0,54048.0,3089.0,4856.0,1292,70,923,2024-04-04
2369,45.0,11.0,42763.0,3068.0,4549.0,1208,38,799,2024-04-05
2370,34.0,7.0,40211.0,3231.0,5042.0,1060,47,601,2024-04-06
2371,39.0,13.0,52528.0,3121.0,6740.0,1201,90,566,2024-04-07
2372,50.0,14.0,54966.0,3254.0,4761.0,1282,74,621,2024-04-08
2373,44.0,12.0,44946.0,2826.0,4228.0,1285,54,601,2024-04-09
2374,48.0,8.0,43949.0,3155.0,4037.0,1493,93,714,2024-04-10
2375,47.0,7.0,41059.0,3170.0,4219.0,1646,67,881,2024-04-11
2376,35.0,10.0,41405.0,3699.0,3948.0,1800,66,632,2024-04-12
2377,45.0,8.0,59976.0,3982.0,8300.0,1736,66,687,2024-04-13
2378,74.0,11.0,83069.0,4893.0,9690.0,1297,39,737,2024-04-14
2379,98.0,7.0,57862.0,3870.0,5092.0,2249,66,747,2024-04-15
2380,72.0,5.0,45482.0,3674.0,4042.0,1889,51,753,2024-04-16
2381,60.0,10.0,43438.0,4025.0,3788.0,1593,44,611,2024-04-17
2382,55.0,6.0,44854.0,3419.0,3488.0,1578,52,613,2024-04-18
2383,44.0,12.0,51246.0,3628.0,3480.0,1448,33,677,2024-04-19
2384,55.0,7.0,40545.0,4029.0,3295.0,1245,32,571,2024-04-20
2385,43.0,4.0,41844.0,3942.0,3536.0,1444,39,539,2024-04-21
2386,69.0,14.0,44682.0,3786.0,3504.0,1448,49,555,2024-04-22
2387,44.0,9.0,44966.0,4307.0,3745.0,1383,45,539,2024-04-23
2388,33.0,8.0,48534.0,3763.0,3829.0,1410,41,597,2024-04-24
2389,48.0,14.0,49461.0,3359.0,3785.0,1325,43,715,2024-04-25
2390,57.0,4.0,48612.0,3835.0,3491.0,1276,47,610,2024-04-26
2391,41.0,14.0,42106.0,3427.0,3457.0,1193,40,581,2024-04-27
2392,53.0,9.0,44033.0,3891.0,3478.0,1138,45,640,2024-04-28
2393,40.0,8.0,48530.0,4085.0,3609.0,1180,31,558,2024-04-29
2394,46.0,7.0,52090.0,3281.0,3751.0,1302,54,614,2024-04-30
2395,56.0,7.0,56222.0,4331.0,3464.0,1255,50,763,2024-05-01
2396,62.0,3.0,51187.0,5046.0,3345.0,1204,32,579,2024-05-02
2397,58.0,5.0,45737.0,3467.0,3598.0,1319,28,603,2024-05-03
2398,47.0,14.0,43848.0,3526.0,3736.0,1257,47,550,2024-05-04
2399,41.0,9.0,42927.0,3457.0,4844.0,1382,53,560,2024-05-05
